adm1_en,adm1_pcode,geo_zone,swath,uo_a_code,ndp_all_total_joint,ndp_aff_sp1_joint,ndp_aff_sp2_joint,ndp_aff_sp3_joint,ndp_aff_sp4_joint,ndp_aff_sp5_joint,ndp_aff_total_joint,ndp_pin_sp1_joint,ndp_pin_sp2_joint,ndp_pin_sp3_joint,ndp_pin_sp4_joint,ndp_pin_sp5_joint,ndp_pin_total_joint,ndp_sev_sp1_joint,ndp_sev_sp2_joint,ndp_sev_sp3_joint,ndp_sev_sp4_joint,ndp_sev_total_joint,ndp_target_sp1_joint,ndp_target_sp2_joint,ndp_target_sp3_joint,ndp_target_sp4_joint,ndp_target_total_joint,ndp_target_pr_sp1_joint,ndp_target_pr_sp2_joint,ndp_target_pr_sp3_joint,ndp_target_pr_sp4_joint,ndp_target_pr_total_joint
Kharkivska,UA63,0-20 km,0-20km,UA63_U20A,173398,173398,0,0,173398,0,0,134865,0,0,64082,0,0,5,-,5,5,5,134865,0,0,24412,0,134865,NA,NA,24412,NA
Kharkivska,UA63,21-50 km (w/o Kharkiv),20-50km,UA63_U50X,164094,88204.95618501361,0,0,88205,0,0,68427,0,0,20664,0,0,4,-,4,4,4,56883,0,0,10332,0,56883,NA,NA,10332,NA
Kharkivska,UA63,51+ km,50+,UA63_U51P,209058,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,0,3,0,0,0,0,0,0,NA,NA,0,NA
Kharkivska,UA63,Kharkiv city,20-50km,UA63_UCAP,942249,511154.6862745079,0,0,511155,0,0,454928,0,0,107239,0,0,4,-,4,4,4,454928,0,0,21448,0,454928,NA,NA,21448,NA
Khersonska,UA65,0-20 km (w/o Kherson),0-20km,UA65_U20X,18255,18255,0,0,18255,0,0,17525,0,0,6050,0,0,5,-,5,5,5,17525,0,0,3025,0,17525,NA,NA,3025,NA
Khersonska,UA65,21-50 km,20-50km,UA65_U50A,4387,3343.7298994067223,0,0,3344,0,0,3009,0,0,1098,0,0,4,-,4,4,4,2786,0,0,1098,0,2786,NA,NA,1098,NA
Khersonska,UA65,51+ km,50+,UA65_U51P,435,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,0,3,0,0,0,0,0,0,NA,NA,0,NA
Khersonska,UA65,Kherson city,0-20km,UA65_UCAP,67022,67022,0,0,67022,0,0,67022,0,0,22475,0,0,5,-,5,5,5,67022,0,0,11237,0,67022,NA,NA,11237,NA
Khmelnytska,UA68,All oblast,50+,UA68_UALL,956697,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,0,3,0,0,0,0,0,0,NA,NA,0,NA
Cherkaska,UA71,All oblast,50+,UA71_UALL,1015007,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,0,3,0,0,0,0,0,0,NA,NA,0,NA
Chernivetska,UA73,All oblast,50+,UA73_UALL,596430,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,0,3,0,0,0,0,0,0,NA,NA,0,NA
Chernihivska,UA74,0-20 km,0-20km,UA74_U20A,79652,79652,0,0,79652,0,0,66514,0,0,11301,0,0,5,-,5,5,5,66514,0,0,2690,0,66514,NA,NA,2690,NA
Chernihivska,UA74,21-50 km,20-50km,UA74_U50A,14571,5332.475093332597,0,0,5332,0,0,4137,0,0,446,0,0,3,-,4,3,4,2784,0,0,223,0,2784,NA,NA,45,NA
Chernihivska,UA74,51+ km,50+,UA74_U51P,739274,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,0,3,0,0,0,0,0,0,NA,NA,0,NA
Kyiv,UA80,All oblast,50+,UA80_UALL,3034506,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,0,3,0,0,0,0,0,0,NA,NA,0,NA
OT,UAOT,OT 0-20 km,0-20km,UAOT_O20A,224914,224914,0,15029,224914,0,224914,224914,0,15029,0,0,224914,5,-,5,5,5,128460,0,7514,0,128460,128460,NA,7514,0,128460
OT,UAOT,OT 21-50 km,20-50km,UAOT_O50A,225310,225310,0,6485,225310,0,225310,225310,0,6485,0,0,225310,4,-,4,4,4,151946,0,3243,0,155189,151946,NA,3243,0,155189
OT,UAOT,51+ km (occupied after 2022),50+,UAOT_O51N,304427,0,0,6055,0,304427,304427,0,0,6055,0,304427,304427,0,-,4,0,4,0,0,3028,0,3028,0,NA,3028,0,3028
OT,UAOT,51+ km (occupied before 2022),50+,UAOT_O51O,190590,0,0,3791,0,190590,190590,0,0,3790,0,190590,190590,0,-,3,0,3,0,0,948,0,948,0,NA,189,0,189
GCA 0-20 km,UAGC,0-20 km GCA,0-20km,UAGC_U20A,1104543,1104543,0,428256,1104543,0,1104543,1004983,0,428256,328817,0,1004983,0,-,5,-,-,982830,0,214128,134864,982830,982830,NA,214128,134864,982830
GCA 21-50 km,UAGC,21-50 km GCA,20-50km,UAGC_U50A,2459334,1228260.181292699,0,297609,1228261,0,1525869.181292699,1080945,0,297609,287226,0,1378554,0,-,4,-,-,936915,0,152603,104087,1193605,933328,NA,152602,94697,1180627
GCA 51+ km,UAGC,51+ km GCA,50+,UAGC_U51P,23881586,0,0,1643127,0,6407206.955555704,6407206.955555704,0,0,1643127,0,5048344.292393186,5048344.292393186,0,-,3,-,-,0,0,432427,0,432427,0,NA,86485,0,86485
Total,NA,NA,NA,NA,28390704,2783027.181292699,0,2400352,2783028,6902223.955555704,9982860.136848403,2536152,0,2400351,616043,5543361.292393186,8377122.292393186,NA,NA,NA,NA,NA,2200151,0,813891,238951,2896487,2196564,0,467189,229561,2536808
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Cells shaded in yellow are aggregated values that are repetative of other records/zones in the table.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
