adm1_en,adm1_pcode,geo_zone,swath,uo_a_code,overall_all_total_joint,overall_aff_sp1_joint,overall_aff_sp2_joint,overall_aff_sp3_joint,overall_aff_sp4_joint,overall_aff_sp5_joint,overall_aff_total_joint,overall_pin_sp1_joint,overall_pin_sp2_joint,overall_pin_sp3_joint,overall_pin_sp4_joint,overall_pin_sp5_joint,overall_pin_total_joint,overall_sev_sp1_joint,overall_sev_sp2_joint,overall_sev_sp3_joint,overall_sev_sp4_joint,overall_sev_total_joint,overall_target_sp1_joint,overall_target_sp2_joint,overall_target_sp3_joint,overall_target_sp4_joint,overall_target_total_joint,overall_target_pr_sp1_joint,overall_target_pr_sp2_joint,overall_target_pr_sp3_joint,overall_target_pr_sp4_joint,overall_target_pr_total_joint
Kharkivska,UA63,0-20 km,0-20km,UA63_U20A,202615,202615,0,0,202615,0,0,161160,0,0,74880,0,0,5,4,5,5,5,158381,0,0,26469,0,158381,0,0,26469,0
Kharkivska,UA63,21-50 km (w/o Kharkiv),20-50km,UA63_U50X,247556,171666.9561850136,0,0,148576,0,0,133175,0,0,80069,0,0,4,0,4,4,4,110707,0,0,40323,0,110707,0,0,40323,0
Kharkivska,UA63,51+ km,50+,UA63_U51P,277427,0,0,0,48737,0,0,0,0,0,38730,0,0,0,0,3,3,3,0,0,0,17058,0,0,0,0,17058,0
Kharkivska,UA63,Kharkiv city,20-50km,UA63_UCAP,1075855,644760.6862745079,0,0,607797,0,0,573837,0,0,188952,0,0,4,0,4,4,4,573837,0,0,70476,0,573837,0,0,70476,0
Khersonska,UA65,0-20 km (w/o Kherson),0-20km,UA65_U20X,23570,23570,0,0,23570,0,0,22627,0,0,7812,0,0,5,4,5,5,5,22176,0,0,3906,0,22176,0,0,3906,0
Khersonska,UA65,21-50 km,20-50km,UA65_U50A,6317,5273.729899406722,0,0,4740,0,0,4746,0,0,2494,0,0,4,0,4,4,4,4394,0,0,2253,0,4394,0,0,2253,0
Khersonska,UA65,51+ km,50+,UA65_U51P,535,0,0,0,72,0,0,0,0,0,69,0,0,0,0,3,4,4,0,0,0,35,0,0,0,0,35,0
Khersonska,UA65,Kherson city,0-20km,UA65_UCAP,76930,76930,0,0,76930,0,0,76930,0,0,25798,0,0,5,4,5,5,5,76930,0,0,11902,0,76930,0,0,11902,0
Khmelnytska,UA68,All oblast,50+,UA68_UALL,1050318,0,0,0,65112,0,0,0,0,0,60289,0,0,0,0,3,3,3,0,0,0,15072,0,0,0,0,3014,0
Cherkaska,UA71,All oblast,50+,UA71_UALL,1144765,0,0,0,92461,0,0,0,0,0,78628,0,0,0,0,3,3,3,0,0,0,11794,0,0,0,0,2359,0
Chernivetska,UA73,All oblast,50+,UA73_UALL,654523,0,0,0,40403,0,0,0,0,0,34246,0,0,0,0,3,3,3,0,0,0,16161,0,0,0,0,16161,0
Chernihivska,UA74,0-20 km,0-20km,UA74_U20A,84516,84516,0,0,84516,0,0,70892,0,0,11991,0,0,5,0,5,5,5,70576,0,0,2855,0,70576,0,0,2855,0
Chernihivska,UA74,21-50 km,20-50km,UA74_U50A,15275,6036.475093332597,0,0,5841,0,0,4771,0,0,955,0,0,3,0,4,4,4,3260,0,0,513,0,3260,0,0,335,0
Chernihivska,UA74,51+ km,50+,UA74_U51P,777660,0,0,0,22199,0,0,0,0,0,19102,0,0,0,0,3,3,3,0,0,0,4481,0,0,0,0,1242,0
Kyiv,UA80,All oblast,50+,UA80_UALL,3394193,0,0,0,213148,0,0,0,0,0,184996,0,0,0,0,3,3,3,0,0,0,42875,0,0,0,0,11453,0
OT,UAOT,OT 0-20 km,0-20km,UAOT_O20A,232328,232328,0,15524,232328,0,232328,232328,0,15524,7414,0,232328,5,0,5,5,5,132696,0,7762,1207,132696,132696,0,7762,1207,132696
OT,UAOT,OT 21-50 km,20-50km,UAOT_O50A,235957,235957,0,6791,235957,0,235957,235957,0,6791,10647,0,235957,4,0,4,4,4,157128,0,3396,1734,160371,157128,0,3396,1734,160371
OT,UAOT,51+ km (occupied after 2022),50+,UAOT_O51N,320229,0,0,6369,15802,304427,320229,0,0,6369,15802,304427,320229,0,0,4,4,4,0,0,3185,1350,4535,0,0,3185,1350,4535
OT,UAOT,51+ km (occupied before 2022),50+,UAOT_O51O,200483,0,0,3988,9893,190590,200483,0,0,3987,9893,190590,200483,0,0,3,3,3,0,0,997,1979,2976,0,0,199,396,595
GCA 0-20 km,UAGC,0-20 km GCA,0-20km,UAGC_U20A,1258298,1258298,504240,488720,1258298,0,1258298,1147403,504240,488720,377839,0,1147403,0,4,5,0,0,1120536,504240,244360,144428,1120536,1120536,504240,244360,144428,1120536
GCA 21-50 km,UAGC,21-50 km GCA,20-50km,UAGC_U50A,2953997,1722923.181292699,0,345681,1586193,0,2020532.181292699,1497099,0,345681,606254,0,1794708,0,0,4,0,0,1303692,0,177252,285633,1560382,1300105,0,177252,276243,1547404
GCA 51+ km,UAGC,51+ km GCA,50+,UAGC_U51P,26727253,0,0,1868838,1910493,6407206.955555704,8543410.955555703,0,0,1868838,1644534,5048344.292393186,6918589.292393186,0,0,3,0,0,0,0,491828,645630,1137458,0,0,98365,551251,649616
Total,NA,NA,NA,NA,31928545,3449506.181292699,504240,2735911,5248964,6902223.955555704,12811238.136848401,3112787,504240,2735910,2672383,5543361.292393186,10849697.292393185,NA,NA,NA,NA,NA,2714052,504240,928780,1081961,4118954,2710465,504240,534519,976609,3615753
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Cells shaded in yellow are aggregated values that are repetative of other records/zones in the table.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
