adm1_en,adm1_pcode,geo_zone,swath,uo_a_code,idp_all_total_joint,idp_aff_sp1_joint,idp_aff_sp2_joint,idp_aff_sp3_joint,idp_aff_sp4_joint,idp_aff_total_joint,idp_pin_sp1_joint,idp_pin_sp2_joint,idp_pin_sp3_joint,idp_pin_sp4_joint,idp_pin_total_joint,idp_sev_sp1_joint,idp_sev_sp2_joint,idp_sev_sp3_joint,idp_sev_sp4_joint,idp_sev_total_joint,idp_target_sp1_joint,idp_target_sp2_joint,idp_target_sp3_joint,idp_target_sp4_joint,idp_target_total_joint,idp_target_pr_sp1_joint,idp_target_pr_sp2_joint,idp_target_pr_sp3_joint,idp_target_pr_sp4_joint,idp_target_pr_total_joint
Kharkivska,UA63,21-50 km (w/o Kharkiv),20-50km,UA63_U50X,83462,83462,0,0,60371,0,64748,0,0,59405,0,4,0,4,4,4,53824,0,0,29991,0,53824,NA,NA,29991,NA
Kharkivska,UA63,51+ km,50+,UA63_U51P,68369,0,0,0,48737,0,0,0,0,38730,0,0,0,3,3,3,0,0,0,17058,0,0,NA,NA,17058,NA
Kharkivska,UA63,Kharkiv city,20-50km,UA63_UCAP,133606,133606,0,0,96642,0,118909,0,0,81713,0,4,0,4,4,4,118909,0,0,49028,0,118909,NA,NA,49028,NA
Khersonska,UA65,0-20 km (w/o Kherson),0-20km,UA65_U20X,5315,5315,0,0,5315,0,5102,0,0,1762,0,5,4,5,5,5,4651,0,0,881,0,4651,NA,NA,881,NA
Khersonska,UA65,21-50 km,20-50km,UA65_U50A,1930,1930,0,0,1396,0,1737,0,0,1396,0,4,0,4,4,4,1608,0,0,1155,0,1608,NA,NA,1155,NA
Khersonska,UA65,51+ km,50+,UA65_U51P,100,0,0,0,72,0,0,0,0,69,0,0,0,3,4,4,0,0,0,35,0,0,NA,NA,35,NA
Khersonska,UA65,Kherson city,0-20km,UA65_UCAP,9908,9908,0,0,9908,0,9908,0,0,3323,0,5,4,5,5,5,9908,0,0,665,0,9908,NA,NA,665,NA
Khmelnytska,UA68,All oblast,50+,UA68_UALL,93621,0,0,0,65112,0,0,0,0,60289,0,0,0,3,3,3,0,0,0,15072,0,0,NA,NA,3014,NA
Cherkaska,UA71,All oblast,50+,UA71_UALL,129758,0,0,0,92461,0,0,0,0,78628,0,0,0,3,3,3,0,0,0,11794,0,0,NA,NA,2359,NA
Chernivetska,UA73,All oblast,50+,UA73_UALL,58093,0,0,0,40403,0,0,0,0,34246,0,0,0,3,3,3,0,0,0,16161,0,0,NA,NA,16161,NA
Chernihivska,UA74,0-20 km,0-20km,UA74_U20A,4864,4864,0,0,4864,0,4378,0,0,690,0,5,4,5,5,5,4062,0,0,165,0,4062,NA,NA,165,NA
Chernihivska,UA74,21-50 km,20-50km,UA74_U50A,704,704,0,0,509,0,634,0,0,509,0,3,0,4,4,4,476,0,0,290,0,476,NA,NA,290,NA
Chernihivska,UA74,51+ km,50+,UA74_U51P,38386,0,0,0,22199,0,0,0,0,19102,0,0,0,3,3,3,0,0,0,4481,0,0,NA,NA,1242,NA
Kyiv,UA80,All oblast,50+,UA80_UALL,359687,0,0,0,213148,0,0,0,0,184996,0,0,0,3,3,3,0,0,0,42875,0,0,NA,NA,11453,NA
OT,UAOT,OT 0-20 km,0-20km,UAOT_O20A,7414,7414,0,495,7414,7414,7414,0,495,7414,7414,5,0,5,5,5,4236,0,248,1207,4236,4236,NA,248,1207,4236
OT,UAOT,OT 21-50 km,20-50km,UAOT_O50A,10647,10647,0,306,10647,10647,10647,0,306,10647,10647,4,0,4,4,4,5182,0,153,1734,5182,5182,NA,153,1734,5182
OT,UAOT,51+ km (occupied after 2022),50+,UAOT_O51N,15802,0,0,314,15802,15802,0,0,314,15802,15802,0,0,4,4,4,0,0,157,1350,1507,0,NA,157,1350,1507
OT,UAOT,51+ km (occupied before 2022),50+,UAOT_O51O,9893,0,0,197,9893,9893,0,0,197,9893,9893,0,0,3,3,3,0,0,49,1979,2028,0,NA,10,396,406
GCA 0-20 km,UAGC,0-20 km GCA,0-20km,UAGC_U20A,153755,153755,504240,60464,153755,153755,142420,504240,60464,49022,142420,0,4,5,0,0,137706,504240,30232,9564,137706,137706,504240,30232,9564,137706
GCA 21-50 km,UAGC,21-50 km GCA,20-50km,UAGC_U50A,494663,494663,0,48072,357932,494663,416154,0,48072,319028,416154,0,0,4,0,0,366777,0,24649,181546,366777,366777,NA,24650,181546,366777
GCA 51+ km,UAGC,51+ km GCA,50+,UAGC_U51P,2845667,0,0,225711,1910493,2136204,0,0,225711,1644534,1870245,0,0,3,0,0,0,0,59401,645630,705031,0,NA,11880,551251,563131
Total,NA,NA,NA,NA,3537841,666479,504240,335559,2465936,2828378,576635,504240,335559,2056340,2472575,NA,NA,NA,NA,NA,513901,504240,114889,843010,1222467,513901,504240,67330,747048,1078945
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Cells shaded in yellow are aggregated values that are repetative of other records/zones in the table.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
