adm3_en,adm3_pcode,adm2_en,adm2_pcode,adm1_en,adm1_pcode,control,zone_desc,swath,uo_a_code,sp1_hromadas,sp2_hromadas,sp3_hromadas,sp4_hromadas
Oskilska,UA6304013,Iziumskyi,UA6304,Kharkivska,UA63,UA,21-50 km (without capital),20-50km,UA63_U50X,1,NA,1,1
Savynska,UA6304015,Iziumskyi,UA6304,Kharkivska,UA63,UA,21-50 km (without capital),20-50km,UA63_U50X,1,NA,1,1
Bezliudivska,UA6312001,Kharkivskyi,UA6312,Kharkivska,UA63,UA,21-50 km (without capital),20-50km,UA63_U50X,1,NA,1,1
Vysochanska,UA6312003,Kharkivskyi,UA6312,Kharkivska,UA63,UA,21-50 km (without capital),20-50km,UA63_U50X,1,NA,1,1
Vilkhivska,UA6312005,Kharkivskyi,UA6312,Kharkivska,UA63,UA,21-50 km (without capital),20-50km,UA63_U50X,1,NA,1,1
Liubotynska,UA6312011,Kharkivskyi,UA6312,Kharkivska,UA63,UA,21-50 km (without capital),20-50km,UA63_U50X,1,NA,1,1
Pivdenna,UA6312019,Kharkivskyi,UA6312,Kharkivska,UA63,UA,21-50 km (without capital),20-50km,UA63_U50X,1,NA,1,1
Pisochynska,UA6312021,Kharkivskyi,UA6312,Kharkivska,UA63,UA,21-50 km (without capital),20-50km,UA63_U50X,1,NA,1,1
Rohanska,UA6312023,Kharkivskyi,UA6312,Kharkivska,UA63,UA,21-50 km (without capital),20-50km,UA63_U50X,1,NA,1,1
Solonytsivska,UA6312025,Kharkivskyi,UA6312,Kharkivska,UA63,UA,21-50 km (without capital),20-50km,UA63_U50X,1,NA,1,1
Malynivska,UA6314005,Chuhuivskyi,UA6314,Kharkivska,UA63,UA,21-50 km (without capital),20-50km,UA63_U50X,1,NA,1,1
Novopokrovska,UA6314007,Chuhuivskyi,UA6314,Kharkivska,UA63,UA,21-50 km (without capital),20-50km,UA63_U50X,1,NA,1,1
Pechenizka,UA6314009,Chuhuivskyi,UA6314,Kharkivska,UA63,UA,21-50 km (without capital),20-50km,UA63_U50X,1,NA,1,1
Prolisnenska,UA6314015,Chuhuivskyi,UA6314,Kharkivska,UA63,UA,21-50 km (without capital),20-50km,UA63_U50X,1,NA,1,1
Chuhuivska,UA6314017,Chuhuivskyi,UA6314,Kharkivska,UA63,UA,21-50 km (without capital),20-50km,UA63_U50X,1,NA,1,1
Valkivska,UA6302003,Bohodukhivskyi,UA6302,Kharkivska,UA63,UA,51+ km (frontline region),50+,UA63_U51P,NA,NA,1,1
Kolomatska,UA6302007,Bohodukhivskyi,UA6302,Kharkivska,UA63,UA,51+ km (frontline region),50+,UA63_U51P,NA,NA,1,1
Balakliiska,UA6304001,Iziumskyi,UA6304,Kharkivska,UA63,UA,51+ km (frontline region),50+,UA63_U51P,NA,NA,1,1
Barvinkivska,UA6304003,Iziumskyi,UA6304,Kharkivska,UA63,UA,51+ km (frontline region),50+,UA63_U51P,NA,NA,1,1
Donetska,UA6304007,Iziumskyi,UA6304,Kharkivska,UA63,UA,51+ km (frontline region),50+,UA63_U51P,NA,NA,1,1
Zachepylivska,UA6306001,Berestynskyi,UA6306,Kharkivska,UA63,UA,51+ km (frontline region),50+,UA63_U51P,NA,NA,1,1
Kehychivska,UA6306003,Berestynskyi,UA6306,Kharkivska,UA63,UA,51+ km (frontline region),50+,UA63_U51P,NA,NA,1,1
Berestynska,UA6306005,Berestynskyi,UA6306,Kharkivska,UA63,UA,51+ km (frontline region),50+,UA63_U51P,NA,NA,1,1
Natalynska,UA6306007,Berestynskyi,UA6306,Kharkivska,UA63,UA,51+ km (frontline region),50+,UA63_U51P,NA,NA,1,1
Sakhnovshchynska,UA6306009,Berestynskyi,UA6306,Kharkivska,UA63,UA,51+ km (frontline region),50+,UA63_U51P,NA,NA,1,1
Starovirivska,UA6306011,Berestynskyi,UA6306,Kharkivska,UA63,UA,51+ km (frontline region),50+,UA63_U51P,NA,NA,1,1
Biliaivska,UA6310001,Lozivskyi,UA6310,Kharkivska,UA63,UA,51+ km (frontline region),50+,UA63_U51P,NA,NA,1,1
Blyzniukivska,UA6310003,Lozivskyi,UA6310,Kharkivska,UA63,UA,51+ km (frontline region),50+,UA63_U51P,NA,NA,1,1
Lozivska,UA6310005,Lozivskyi,UA6310,Kharkivska,UA63,UA,51+ km (frontline region),50+,UA63_U51P,NA,NA,1,1
Oleksiivska,UA6310007,Lozivskyi,UA6310,Kharkivska,UA63,UA,51+ km (frontline region),50+,UA63_U51P,NA,NA,1,1
Zlatopilska,UA6310009,Lozivskyi,UA6310,Kharkivska,UA63,UA,51+ km (frontline region),50+,UA63_U51P,NA,NA,1,1
Merefianska,UA6312015,Kharkivskyi,UA6312,Kharkivska,UA63,UA,51+ km (frontline region),50+,UA63_U51P,NA,NA,1,1
Novovodolazka,UA6312017,Kharkivskyi,UA6312,Kharkivska,UA63,UA,51+ km (frontline region),50+,UA63_U51P,NA,NA,1,1
Zmiivska,UA6314003,Chuhuivskyi,UA6314,Kharkivska,UA63,UA,51+ km (frontline region),50+,UA63_U51P,NA,NA,1,1
Slobozhanska,UA6314011,Chuhuivskyi,UA6314,Kharkivska,UA63,UA,51+ km (frontline region),50+,UA63_U51P,NA,NA,1,1
Kharkivska,UA6312027,Kharkivskyi,UA6312,Kharkivska,UA63,UA,0-50 km oblast capital,20-50km,UA63_UCAP,1,NA,1,1
Beryslavska,UA6502001,Beryslavskyi,UA6502,Khersonska,UA65,UA,0-20 km (without capital),0-20km,UA65_U20X,1,1,1,1
Mylivska,UA6502013,Beryslavskyi,UA6502,Khersonska,UA65,UA,0-20 km (without capital),0-20km,UA65_U20X,1,1,1,1
Novovorontsovska,UA6502015,Beryslavskyi,UA6502,Khersonska,UA65,UA,0-20 km (without capital),0-20km,UA65_U20X,1,1,1,1
Novooleksandrivska,UA6502017,Beryslavskyi,UA6502,Khersonska,UA65,UA,0-20 km (without capital),0-20km,UA65_U20X,1,1,1,1
Novoraiska,UA6502019,Beryslavskyi,UA6502,Khersonska,UA65,UA,0-20 km (without capital),0-20km,UA65_U20X,1,1,1,1
Tiahynska,UA6502021,Beryslavskyi,UA6502,Khersonska,UA65,UA,0-20 km (without capital),0-20km,UA65_U20X,1,1,1,1
Bilozerska,UA6510001,Khersonskyi,UA6510,Khersonska,UA65,UA,0-20 km (without capital),0-20km,UA65_U20X,1,1,1,1
Darivska,UA6510007,Khersonskyi,UA6510,Khersonska,UA65,UA,0-20 km (without capital),0-20km,UA65_U20X,1,1,1,1
Muzykivska,UA6510009,Khersonskyi,UA6510,Khersonska,UA65,UA,0-20 km (without capital),0-20km,UA65_U20X,1,1,1,1
Stanislavska,UA6510013,Khersonskyi,UA6510,Khersonska,UA65,UA,0-20 km (without capital),0-20km,UA65_U20X,1,1,1,1
Chornobaivska,UA6510017,Khersonskyi,UA6510,Khersonska,UA65,UA,0-20 km (without capital),0-20km,UA65_U20X,1,1,1,1
Borozenska,UA6502003,Beryslavskyi,UA6502,Khersonska,UA65,UA,21-50 km,20-50km,UA65_U50A,1,NA,1,1
Velykooleksandrivska,UA6502005,Beryslavskyi,UA6502,Khersonska,UA65,UA,21-50 km,20-50km,UA65_U50A,1,NA,1,1
Vysokopilska,UA6502007,Beryslavskyi,UA6502,Khersonska,UA65,UA,21-50 km,20-50km,UA65_U50A,1,NA,1,1
Kalynivska,UA6502009,Beryslavskyi,UA6502,Khersonska,UA65,UA,21-50 km,20-50km,UA65_U50A,1,NA,1,1
Kochubeivska,UA6502011,Beryslavskyi,UA6502,Khersonska,UA65,UA,51+ km (frontline region),50+,UA65_U51P,NA,NA,1,1
Khersonska,UA6510015,Khersonskyi,UA6510,Khersonska,UA65,UA,0-50 km oblast capital,0-20km,UA65_UCAP,1,1,1,1
Hukivska,UA6802001,Kamianets-Podilskyi,UA6802,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Humenetska,UA6802003,Kamianets-Podilskyi,UA6802,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Dunaievetska,UA6802005,Kamianets-Podilskyi,UA6802,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Zhvanetska,UA6802007,Kamianets-Podilskyi,UA6802,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Zakupnenska,UA6802009,Kamianets-Podilskyi,UA6802,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Kamianets-Podilska,UA6802011,Kamianets-Podilskyi,UA6802,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Kytaihorodska,UA6802013,Kamianets-Podilskyi,UA6802,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Makivska,UA6802015,Kamianets-Podilskyi,UA6802,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Novodunaievetska,UA6802017,Kamianets-Podilskyi,UA6802,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Novoushytska,UA6802019,Kamianets-Podilskyi,UA6802,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Orynynska,UA6802021,Kamianets-Podilskyi,UA6802,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Slobidsko-Kulchiievetska,UA6802023,Kamianets-Podilskyi,UA6802,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Smotrytska,UA6802025,Kamianets-Podilskyi,UA6802,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Staroushytska,UA6802027,Kamianets-Podilskyi,UA6802,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Chemerovetska,UA6802029,Kamianets-Podilskyi,UA6802,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Antoninska,UA6804001,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Viitovetska,UA6804003,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Vinkovetska,UA6804005,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Vovkovynetska,UA6804007,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Volochyska,UA6804009,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Hvardiiska,UA6804011,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Horodotska,UA6804013,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Derazhnianska,UA6804015,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Zasluchnenska,UA6804017,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Zinkivska,UA6804019,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Krasylivska,UA6804021,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Letychivska,UA6804023,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Lisovohrynivetska,UA6804025,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Medzhybizka,UA6804027,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Myroliubnenska,UA6804029,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Narkevytska,UA6804031,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Rozsoshanska,UA6804033,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Satanivska,UA6804035,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Solobkovetska,UA6804037,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Starokostiantynivska,UA6804039,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Staroostropilska,UA6804041,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Starosyniavska,UA6804043,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Teofipolska,UA6804045,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Khmelnytska,UA6804047,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Chornoostrivska,UA6804049,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Shchyborivska,UA6804051,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Yarmolynetska,UA6804053,Khmelnytskyi,UA6804,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Berezdivska,UA6806001,Shepetivskyi,UA6806,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Bilohirska,UA6806003,Shepetivskyi,UA6806,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Hannopilska,UA6806005,Shepetivskyi,UA6806,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Hrytsivska,UA6806007,Shepetivskyi,UA6806,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Iziaslavska,UA6806009,Shepetivskyi,UA6806,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Krupetska,UA6806011,Shepetivskyi,UA6806,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Lenkovetska,UA6806013,Shepetivskyi,UA6806,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Mykhailiutska,UA6806015,Shepetivskyi,UA6806,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Netishynska,UA6806017,Shepetivskyi,UA6806,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Pluzhnenska,UA6806019,Shepetivskyi,UA6806,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Polonska,UA6806021,Shepetivskyi,UA6806,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Poninkivska,UA6806023,Shepetivskyi,UA6806,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Sakhnovetska,UA6806025,Shepetivskyi,UA6806,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Slavutska,UA6806027,Shepetivskyi,UA6806,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Sudylkivska,UA6806029,Shepetivskyi,UA6806,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Ulashanivska,UA6806031,Shepetivskyi,UA6806,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Shepetivska,UA6806033,Shepetivskyi,UA6806,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Yampilska,UA6806035,Shepetivskyi,UA6806,Khmelnytska,UA68,UA,51+ km (not frontline region),50+,UA68_UALL,NA,NA,1,1
Buzhanska,UA7102001,Zvenyhorodskyi,UA7102,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Bahachevska,UA7102003,Zvenyhorodskyi,UA7102,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Vynohradska,UA7102005,Zvenyhorodskyi,UA7102,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Vilshanska,UA7102007,Zvenyhorodskyi,UA7102,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Vodianytska,UA7102009,Zvenyhorodskyi,UA7102,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Yerkivska,UA7102011,Zvenyhorodskyi,UA7102,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Zvenyhorodska,UA7102013,Zvenyhorodskyi,UA7102,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Kalynopilska,UA7102015,Zvenyhorodskyi,UA7102,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Lypianska,UA7102017,Zvenyhorodskyi,UA7102,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Lysianska,UA7102019,Zvenyhorodskyi,UA7102,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Matusivska,UA7102021,Zvenyhorodskyi,UA7102,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Mokrokalyhirska,UA7102023,Zvenyhorodskyi,UA7102,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Selyshchenska,UA7102025,Zvenyhorodskyi,UA7102,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Steblivska,UA7102027,Zvenyhorodskyi,UA7102,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Talnivska,UA7102029,Zvenyhorodskyi,UA7102,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Shevchenkivska,UA7102031,Zvenyhorodskyi,UA7102,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Shpolianska,UA7102033,Zvenyhorodskyi,UA7102,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Velykokhutirska,UA7104001,Zolotoniskyi,UA7104,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Voznesenska,UA7104003,Zolotoniskyi,UA7104,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Helmiazivska,UA7104005,Zolotoniskyi,UA7104,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Drabivska,UA7104007,Zolotoniskyi,UA7104,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Zolotoniska,UA7104009,Zolotoniskyi,UA7104,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Zorivska,UA7104011,Zolotoniskyi,UA7104,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Irkliivska,UA7104013,Zolotoniskyi,UA7104,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Novodmytrivska,UA7104015,Zolotoniskyi,UA7104,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Pishchanska,UA7104017,Zolotoniskyi,UA7104,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Chornobaivska,UA7104019,Zolotoniskyi,UA7104,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Shramkivska,UA7104021,Zolotoniskyi,UA7104,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Babanska,UA7106001,Umanskyi,UA7106,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Bashtechkivska,UA7106003,Umanskyi,UA7106,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Butska,UA7106005,Umanskyi,UA7106,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Dmytrushkivska,UA7106007,Umanskyi,UA7106,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Zhashkivska,UA7106009,Umanskyi,UA7106,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Ivankivska,UA7106011,Umanskyi,UA7106,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Ladyzhynska,UA7106013,Umanskyi,UA7106,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Mankivska,UA7106015,Umanskyi,UA7106,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Monastyryshchenska,UA7106017,Umanskyi,UA7106,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Palanska,UA7106019,Umanskyi,UA7106,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Umanska,UA7106021,Umanskyi,UA7106,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Khrystynivska,UA7106023,Umanskyi,UA7106,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Balakleivska,UA7108001,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Berezniakivska,UA7108003,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Bilozirska,UA7108005,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Bobrytska,UA7108007,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Budyshchenska,UA7108009,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Horodyshchenska,UA7108011,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Kamianska,UA7108013,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Kanivska,UA7108015,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Korsun-Shevchenkivska,UA7108017,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Leskivska,UA7108019,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Lipliavska,UA7108021,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Medvedivska,UA7108023,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Mykhailivska,UA7108025,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Mliivska,UA7108027,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Moshnivska,UA7108029,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Nabutivska,UA7108031,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Rotmistrivska,UA7108033,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Ruskopolianska,UA7108035,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Sahunivska,UA7108037,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Smilianska,UA7108039,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Stepanetska,UA7108041,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Stepankivska,UA7108043,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Ternivska,UA7108045,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Slobidska,UA7108047,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Cherkaska,UA7108049,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Chyhyrynska,UA7108051,Cherkaskyi,UA7108,Cherkaska,UA71,UA,51+ km (not frontline region),50+,UA71_UALL,NA,NA,1,1
Banylivska,UA7302001,Vyzhnytskyi,UA7302,Chernivetska,UA73,UA,51+ km (not frontline region),50+,UA73_UALL,NA,NA,1,1
Berehometska,UA7302003,Vyzhnytskyi,UA7302,Chernivetska,UA73,UA,51+ km (not frontline region),50+,UA73_UALL,NA,NA,1,1
Brusnytska,UA7302005,Vyzhnytskyi,UA7302,Chernivetska,UA73,UA,51+ km (not frontline region),50+,UA73_UALL,NA,NA,1,1
Vashkivetska,UA7302007,Vyzhnytskyi,UA7302,Chernivetska,UA73,UA,51+ km (not frontline region),50+,UA73_UALL,NA,NA,1,1
Vyzhnytska,UA7302009,Vyzhnytskyi,UA7302,Chernivetska,UA73,UA,51+ km (not frontline region),50+,UA73_UALL,NA,NA,1,1
Koniatynska,UA7302011,Vyzhnytskyi,UA7302,Chernivetska,UA73,UA,51+ km (not frontline region),50+,UA73_UALL,NA,NA,1,1
Putylska,UA7302013,Vyzhnytskyi,UA7302,Chernivetska,UA73,UA,51+ km (not frontline region),50+,UA73_UALL,NA,NA,1,1
Seliatynska,UA7302015,Vyzhnytskyi,UA7302,Chernivetska,UA73,UA,51+ km (not frontline region),50+,UA73_UALL,NA,NA,1,1
